Programa,Total no ano (R$)
"1460 - Vetor Logístico Nordeste Meridional","12.050.555,40"
"2064 - Promoção e Defesa dos Direitos Humanos","10.321.948,25"
"2121 - Programa de Gestão e Manutenção do Ministério do Desenvolvimento, Indústria e Comércio Exterior","232.400.323,72"
"0083 - Previdência Social Básica","284,06"
"2028 - Defesa Agropecuária","51.226.333,00"
"2078 - Conservação e Uso Sustentável da Biodiversidade","41.857.420,07"
"2021 - Ciência, Tecnologia e Inovação","684.100.123,15"
"2047 - Simplificação da Vida da Empresa e do Cidadão: Bem Mais Simples Brasil","3.387.299,84"
"0581 - Defesa da Ordem Jurídica","1.051.326,62"
"2087 - Transporte Terrestre","164.391.307,55"
"0770 - Administração Tributária e Aduaneira","7.227,64"
"0911 - Operações Especiais - Remuneração de Agentes Financeiros","140.046.928,48"
"0580 - Defesa Jurídica da União","736,32"
"1305 - Revitalização de Bacias Hidrográficas em Situação de Vulnerabilidade e Degradação Ambiental","56.273,25"
"2109 - Programa de Gestão e Manutenção do Ministério da Educação","12.500.261.829,12"
"2041 - Geologia, Mineração e Transformação Mineral","15.483.513,34"
"1073 - Brasil Universitário","2.060.503,74"
"2124 - Programa de Gestão e Manutenção do Ministério do Meio Ambiente","436.610.880,56"
"0461 - Promoção da Pesquisa e do Desenvolvimento Científico e Tecnológico","7.301.556,43"
"2040 - Gestão de Riscos e de Desastres","295.618.453,35"
"2056 - Política Espacial","40.481.259,61"
"2069 - Segurança Alimentar e Nutricional","185.262.727,96"
"1029 - Resposta aos Desastres e Reconstrução","366.398,93"
"0151 - Proteção de Terras Indígenas, Gestão Territorial e Etnodesenvolvimento","487.329,84"
"0566 - Prestação Jurisdicional Militar","390.912,86"
"1220 - Assistência Ambulatorial e Hospitalar Especializada","358.248,40"
"1383 - Assistência e Cooperação das Forças Armadas à Sociedade","289.000,00"
"2111 - Programa de Gestão e Manutenção do Ministério da Integração Nacional","289.015.572,36"
"0905 - Operações Especiais: Serviço da Dívida Interna (Juros e Amortizações)","139.484.257.936,75"
"2115 - Programa de Gestão e Manutenção do Ministério da Saúde","3.578.259.491,50"
"2058 - Defesa Nacional","3.186.789.291,01"
"2032 - Educação Superior - Graduação, Pós-Graduação, Ensino, Pesquisa e Extensão","1.225.869.405,11"
"1375 - Desenvolvimento do Ensino da Pós-Graduação e da Pesquisa Científica","41.376,60"
"2049 - Moradia Digna","2.139.863.057,18"
"2012 - Fortalecimento e Dinamização da Agricultura Familiar","3.657.788.984,07"
"0902 - Operações Especiais: Financiamentos com Retorno","11.677.757.686,70"
"2019 - Inclusão social por meio do Bolsa Família, do Cadastro Único e da articulação de políticas sociais","9.967.877,23"
"0910 - Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais","81.963,46"
"0352 - Abastecimento Agroalimentar","2.987,08"
"0901 - Operações Especiais: Cumprimento de Sentenças Judiciais","388.877.381,73"
"0120 - Promoção do Desenvolvimento da Faixa de Fronteira","4.091,34"
"2027 - Cultura: dimensão essencial do Desenvolvimento","313.385.382,59"
